Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	wb5b				0	# Introduction to Ezekiel\n## Part 1: General Introduction\n\n### Outline of Ezekiel\n\n1. Yahweh calls Ezekiel to speak his words (1:1–3:27)\n1. Yahweh judges Judah and Jerusalem (4:1-24:27)\n1. Ezekiel prophesies against nearby nations (25:1–32:32)\n1. Yahweh explains the fall of Jerusalem (33:1–33)\n1. Ezekiel brings messages of hope (34:1–48:35)\n    * A new shepherd (34:1–31)\n    * Edom destroyed (35:1–15)\n    * Israel restored (36:1–37:28)\n    * Gog and Magog (38:1–39:29)\n    * Jerusalem and the temple restored (40:1–48:35)\n\n\n### What is Ezekiel about?\n\nThe Book of Ezekiel contains words that Ezekiel prophesied between 592 B.C. and 573 B.C. The Jewish people were exiled in Babylonia. Ezekiel told them that God had punished them because they sinned against him. However, Ezekiel assured them that God would restore them. God was using Babylon to punish them. But eventually another nation would defeat the Babylonians. Ezekiel also prophesied about how God will restore Jerusalem and the temple so that the people can worship and sacrifice to him again. Ezekiel then described how the land will be divided again among the tribes of Israel.\n\n### How should the title of this book be translated?\n\n“Ezekiel” or “The Book of Ezekiel” is the traditional name for this book. Translators may also call it “The Messages from God Brought by Ezekiel.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### Who wrote the Book of Ezekiel?\n\nEzekiel wrote the prophecies in the Book of Ezekiel. He was a prophet and priest who lived near Babylon in the time of the exile.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What was Ezekiel’s temple?\n\nSeveral chapters of the Book of Ezekiel give instructions about building a new temple. However, this temple is not the same as the temple the people would build after going back to Jerusalem. Because Ezekiel’s temple has never been built, some scholars think that this temple is to be built in the future. Other scholars think that Ezekiel’s temple is symbolic of the Church.\n\n### Do the sacrifices in Ezekiel follow the law of Moses?\n\nThe sacrifices in Ezekiel 46 are somewhat different than the required sacrifices in Numbers 28. This may be because Ezekiel prophesied about a new temple with new sacrifices.\n\n## Part 3: Important Translation Issues\n\n### How should one represent Ezekiel’s visions in translation?\n\nThe Book of Ezekiel has many complicated visions. Some are similar to passages in other Scripture books that describe future events. Some of these visions are about God rescuing Israel in the distant future. (See: [[rc://*/ta/man/translate/writing-apocalypticwriting]])\n\nIt is unclear whether Ezekiel actually traveled to the particular places named in the visions, or whether what he described were mental ideas. For this reason, Ezekiel’s viewpoint is sometimes difficult to understand, even though the meanings of the visions may be clear.\n\nTranslators should avoid trying to explain these visions in their translations. Instead, they should present the visions just as they are in the source text.\n\n### What does “and you will know that I am Yahweh” mean?\n\nThis is a common phrase in the Book of Ezekiel. It is meant to assure the reader that these messages truly came from God, and that he will do what he has promised. The translator may also use the phrase “and you will understand that I am Yahweh and what I say will happen.” The UST translates it as “then you will know that I, Yahweh, have the power to do what I say that I will do.”
1:intro	j5rn				0	# Ezekiel 1 General Notes\n\n## Structure and formatting\n\n### Ezekiel’s call\n\nEzekiel had a vision of God calling him to prophetic ministry. (See: [[rc://*/tw/dict/bible/kt/call]] and [[rc://*/tw/dict/bible/kt/prophet]])
1:1	xqf6		rc://*/ta/man/translate/translate-ordinal	In the thirtieth year	0	This is the thirtieth year of Ezekiel’s life. (See: [[rc://*/ta/man/translate/translate-ordinal]])
1:1	ad2n		rc://*/ta/man/translate/translate-hebrewmonths	the fourth month, and the fifth day of the month	0	“the fifth day of the fourth month.” This is the fourth month of the Hebrew calendar. The fifth day is around the end of June on Western calendars. (See: [[rc://*/ta/man/translate/translate-hebrewmonths]] and [[rc://*/ta/man/translate/translate-ordinal]])
1:1	q33s			it came about that	0	This phrase is used here to mark an important event in the story. If your language has a way for doing this, you could consider using it here.
1:1	u5sq			I was living among the captives	0	The word “I” refers to Ezekiel. “I was one of the captives”
1:1	zv3x			I saw visions of God	0	Alternate translation: “God showed me unusual things”
1:1	x973			the Kebar Canal	0	This is a river that people in Chaldea had dug to give water to their gardens. “the Kebar River”
1:3	rj9q		rc://*/ta/man/translate/figs-pronouns	to Ezekiel & upon him there	0	Ezekiel speaks of himself as if he were another person. Alternate translation: “to me, Ezekiel … upon me there” (See: [[rc://*/ta/man/translate/figs-pronouns]])
1:3	t4d8		rc://*/ta/man/translate/figs-idiom	the word of Yahweh came to Ezekiel	0	The idiom “the word of Yahweh came to” is used to introduce a special message from God. Alternate translation: “Yahweh gave a message to Ezekiel” (See: [[rc://*/ta/man/translate/figs-idiom]])
