Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	t6za				0	# Introduction to the Gospel of John\n\n## Part 1: General Introduction\n\n### Outline of the Gospel of John\n\n1. Introduction about who Jesus is (1:1–18)\n1. John the Baptizer baptizes Jesus, and Jesus chooses 12 disciples (1:19–51)\n1. Jesus preaches, teaches, and heals people (2–11)\n1. The seven days before Jesus’ death (12–19)\n\n    * Mary anoints the feet of Jesus (12:1–11)\n    * Jesus rides a donkey into Jerusalem (12:12–19)\n    * Some Greek men want to see Jesus (12:20–36)\n    * The Jewish leaders reject Jesus (12:37–50)\n    * Jesus teaches his disciples (13–16)\n    * Jesus prays for himself and his disciples (17)\n    * Jesus is arrested and undergoes trial (18:1–19:15)\n    * Jesus is crucified and buried (19:16–42)\n\n1. Jesus rises from the dead (20:1–29)\n1. John says why he wrote his Gospel (20:30–31)\n1. Jesus meets with the disciples (21)\n\nMore detailed outlines are in the General Notes for each chapter.\n\n### What is the Gospel of John about?\n\nThe Gospel of John is one of four books in the New Testament that describe some of the life and teachings of Jesus Christ. These books are called “Gospels,” which means “good news.” Their authors wrote about different aspects of who Jesus was and what he did. John said that he wrote his Gospel “so that people might believe that Jesus is the Christ, the Son of the living God” ([20:31](../20/31.md)). John’s Gospel repeatedly emphasizes that Jesus is God in human form.\n\nJohn’s Gospel is very different from the other three Gospels. John does not include some of the teachings and events that the other writers included in their Gospels. Also, John wrote about some teachings and events that are not in the other Gospels.\n\nJohn wrote much about the miraculous signs Jesus did to prove that what Jesus said about himself was true. (See: [[rc://*/tw/dict/bible/kt/sign]])\n\n### How should the title of this book be translated?\n\nTranslators may choose to call this book by its traditional title, “The Gospel of John” or “The Gospel According to John.” Or they may choose a title that may be clearer, such as, “The Good News About Jesus That John Wrote.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### Who wrote the Gospel of John?\n\nThis book does not give the name of the author. However, since early Christian times, most Christians have thought that the apostle John was the author. Further evidence that the apostle John wrote this Gospel is the fact that his name does not occur once within the book. Instead, this Gospel contains the phrases “the disciple whom Jesus loved” or “the other disciple” in places where the other Gospels indicate that John was present ([13:23–25](../13/23.md); [19:26–27](../19/26.md); [20:2–8](../20/02.md); [21:7](../21/07.md), [20–24](../21/20.md)). The apostle John most likely referred to himself in this manner because he wanted to humbly say that he had a very close relationship with Jesus. He was part of Jesus’ inner circle of disciples who became the “pillars” of the early church ([Galatians 2:9](../../gal/02/09.md)).\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Why does John write so much about the final week of Jesus’ life?\n\nJohn wrote much about Jesus’ final week. He wanted his readers to think deeply about Jesus’ final week and his death on the cross. He wanted people to understand that Jesus willingly died on the cross so that God could forgive them for sinning against him. (See: [[rc://*/tw/dict/bible/kt/sin]])\n\n## Part 3: Important Translation Issues\n\n### Why does Jesus refer to himself as the “Son of Man”?\n\nIn the Gospels, Jesus calls himself the “Son of Man.” This is a reference to [Daniel 7:13–14](../../dan/07/13.md). In that passage, there is a person who is described as like a “son of man.” That means that the person was someone who looked like a human being. God gave authority to this “son of man” to rule over the nations forever. All people will worship him forever.\n\nJews of Jesus’ time did not use “Son of Man” as a title for anyone. But Jesus used it for himself to help them understand who he truly was. (See: [[rc://*/tw/dict/bible/kt/sonofman]])\n\nTranslating the title “Son of Man” can be difficult in many languages. Readers may misunderstand a literal translation. Translators can consider alternatives, such as “The Human One.” It may also be helpful to include a footnote to explain the title.\n\n### What does the word “sign” mean in the Gospel of John?\n\nWhile other New Testament writers use terms like “mighty works” or “wonders” to refer to the miracles that Jesus did, John prefers to use the term “sign.” The miracles John calls “signs” were significant displays of divine power. John called them signs to emphasize that an important purpose of Jesus’ miracles was to prove that Jesus was God and that what Jesus said about himself was true. John said that in his Gospel he only wrote about some of the signs that Jesus did. John said, “these have been written so that you would believe that Jesus is the Christ, the Son of God, and so that believing, you would have life in his name” ([20:30–31](../20/30.md)).\n\n### What do the words “remain,” “reside,” and “abide” mean in the Gospel of John?\n\nJohn often used the words “remain,” “reside,” and “abide” as metaphors. John spoke of a believer becoming more faithful to Jesus and knowing Jesus better as if Jesus’ word “remained” in the believer. John also spoke of someone being spiritually joined to someone else as if the person “remained” in the other person. Christians are said to “remain” in Christ and in God. The Father is said to “remain” in the Son, and the Son is said to “remain” in the Father. The Son is said to “remain” in believers. The Holy Spirit is also said to “remain” in the believers.\n\nMany translators will find it impossible to represent these ideas in their languages in exactly the same way. For example, Jesus intended to express the idea of the Christian being spiritually together with him when he said, “He who eats my flesh and drinks my blood remains in me, and I in him” ([6:56](../06/56.md)). The UST uses the idea of “will be united with me, and I will be united with them,” but translators may have to find other ways of expressing the idea.\n\nIn the passage, “my words remain in you” ([15:7](../15/07.md)), the UST expresses this idea as “obey what I have taught you.” Translators may find it possible to use this translation as a model.\n\n### What is double meaning in the Gospel of John?\n\nJohn occasionally used words or phrases that could have two meanings (double entendre) in the language in which he originally wrote this Gospel. For example, the phrase translated “born again” in the ULT could also mean “born from above” ([3:3](../03/03.md), [7](../03/07.md)). In such cases, you may want to choose one meaning and put the other meaning in a footnote.\n\n### What are the major issues in the text of the Gospel of John?\n\nThe following verses are found in older versions of the Bible but are not included in most modern versions. Translators are advised not to translate these verses. However, if there are older versions of the Bible in the translators’ region that include these verses, then the translators can include them. If they are translated, they should be put inside square brackets (\\[\\]) to indicate that they were probably not originally in John’s Gospel.\n\n* “waiting for the moving of the water. For an angel of the Lord went down into the pool and stirred up the water at certain times, and whoever then first stepped in after the water was stirred was healed from whatever disease he suffered from.” (5:3-4)\n* “going through the midst of them, and so passed by” ([8:59](../08/59.md))\n\nThe following passage is included in most older and modern versions of the Bible. But it is not in the earliest copies of the Bible. Translators are advised to translate this passage. It should be put inside of square brackets (\\[\\]) to indicate that it may not have been original to John’s Gospel.\n\n* The story of the adulterous woman ([7:53](../07/53.md)–[8:11](../08/11.md)) (See: [[rc://*/ta/man/translate/translate-textvariants]])
1:intro	k29b				0	# John 1 General Notes\n\n## Structure and Formatting\n\n1. Jesus is God (1:1–5)\n2. John the Baptist was Jesus’ witness (1:6–8)\n3. Summary of Jesus’ ministry on earth (1:9–13)\n4. Jesus is God in the flesh (1:14–18)\n5. John the Baptist prepares the way for Jesus (1:19–34)\n6. Jesus meets Andrew, Peter, Philip, and Nathaniel (1:35–51)\n\nSome translations set each line of poetry farther to the right than the rest of the text to make it easier to read. The ULT does this with the poetry in [1:23](../01/23.md), which are words from the Old Testament.\n\n## Special Concepts in this Chapter\n\n### “The Word”\n\nJohn uses the phrase “the Word” to refer to Jesus ([1:1](../01/01.md), [14](../01/14.md)). John is saying that God’s most important message to all people is actually Jesus, a person with a physical body. (See: [[rc://*/tw/dict/bible/kt/wordofgod]])\n\n### Light and Darkness\n\nIn [1:4–9](../01/04.md), John uses an extended metaphor in which light represents what is true and good and darkness represents what is false and evil. John applies that light metaphor to Jesus in order to show that Jesus is God’s truth and goodness displayed in a human body. (See: [[rc://*/tw/dict/bible/kt/righteous]])\n\n### “Children of God”\n\nPeople are sometimes described as “children of God” because God created them. However, John uses this expression in a different sense in this chapter. He uses it to describe people who have entered into a father-child relationship with God by putting their faith and trust in Jesus. God indeed created all people, but people can only become children of God in this sense by believing in Jesus. “Children” in this usage does not refer to those who are young, but only to the relationship that people have to their father at any age. (See: [[rc://*/tw/dict/bible/kt/believe]])\n\n## Important Figures of Speech in this Chapter\n\n### Metaphors\n\nJohn uses the metaphors of light and darkness and of “the Word” to tell the reader that he will be writing more about good and evil and about what God wants to tell people through Jesus. (See: [[rc://*/ta/man/translate/figs-metaphor]])\n\n## Other Possible Translation Difficulties in this Chapter\n\n### “In the beginning”\n\nSome languages and cultures speak of the world as if it has always existed, as if it had no beginning. But “very long ago” is different from “in the beginning,” and you need to be sure that your translation communicates correctly.\n\n### “Son of Man”\n\nJesus refers to himself as the “Son of Man” in this chapter ([1:51](../01/51.md)). Your language may not allow people to speak of themselves as if they were speaking about someone else. See the discussion of this concept in Part 3 of the General Introduction to the Gospel of John. (See: [[rc://*/tw/dict/bible/kt/sonofman]] and [[rc://*/ta/man/translate/figs-123person]])
1:1	er9g		rc://*/ta/man/translate/figs-explicit	ἐν ἀρχῇ ἦν	1	This phrase refers to the very earliest time before God created the heavens and the earth. It does not refer to time in the distant past. If this might confuse your readers, you could express the meaning explicitly. Alternate translation: “Before the beginning of the universe there was” or “Before the universe began there was” (See: [[rc://*/ta/man/translate/figs-explicit]])
1:1	z59q		rc://*/ta/man/translate/figs-explicit	ὁ λόγος, καὶ ὁ λόγος & καὶ Θεὸς ἦν ὁ λόγος	1	Here, **the Word** refers to Jesus. It does not refer to a spoken word. ULT indicates this by capitalizing **Word** to indicate that this is a title for Jesus. Use whatever convention your language uses to indicate that this is a name. If “word” is feminine in your language, it could be translated as “the one who is called the Word.” Alternate translation: “Jesus, who is the Word, and Jesus … and Jesus was God” (See: [[rc://*/ta/man/translate/figs-explicit]])
1:2	u6xx		rc://*/ta/man/translate/writing-pronouns	οὗτος	1	**He** here refers to Jesus, whom John has called “the Word” in the previous verse. If it would be helpful in your language, you could state this explicitly. Alternate translation: “Jesus” or “the Word” (See: [[rc://*/ta/man/translate/writing-pronouns]])
1:2	k8cf			ἐν ἀρχῇ	1	Here this phrase refers to the very earliest time before God created the heavens and the earth. See how you translated this phrase in verse [1](../01/01.md). Alternate translation: “before the beginning of the universe” or “before the universe began”
1:3	gm5g		rc://*/ta/man/translate/figs-activepassive	πάντα δι’ αὐτοῦ ἐγένετο	1	If your language does not use the passive form in this way, you could express the idea in active form or in another way that is natural in your language. If you must state who did the action, John implies that God did it. Alternate translation: “God made all things through him” (See: [[rc://*/ta/man/translate/figs-activepassive]])
1:3	t1lj		rc://*/ta/man/translate/writing-pronouns	αὐτοῦ	1	Here, **him** refers to Jesus, the one who is called “the Word.” If it would be helpful in your language, you could state this explicitly. Alternate translation: “Jesus” or “the Word” (See: [[rc://*/ta/man/translate/writing-pronouns]])
1:3	aqs1		rc://*/ta/man/translate/figs-doublenegatives	χωρὶς αὐτοῦ ἐγένετο οὐδὲ ἕν ὃ γέγονεν	1	If this double negative would be misunderstood in your language, you could translate it as a positive statement. Alternate translation: “with him came into being everything that came into being” (See: [[rc://*/ta/man/translate/figs-doublenegatives]])
1:3	v4yk		rc://*/ta/man/translate/figs-activepassive	χωρὶς αὐτοῦ ἐγένετο οὐδὲ ἕν ὃ γέγονεν	1	If your language does not use the passive form in this way, you could express the idea in active form or in another way that is natural in your language. If you must state who did the action, John implies that God did it. Alternate translation: “God did not make one thing without him” or “with him, God made everyting that God has made” (See: [[rc://*/ta/man/translate/figs-activepassive]])
