Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	u3jc				0	# Introduction to Job\n\n## Part 1: General Introduction\n\n### Outline of Job\n\n1. Introduction (1:1–2:13)\n     - Background to Job’s situation: He is righteous and wealthy (1:1–5)\n     - Yahweh allows Satan to test Job (1:6–2:10)\n2. Job’s friends speak to him a first time and Job replies (3:1–14:22)\n3. Job’s friends speak to him a second time and Job replies (15:1–21:34)\n4. Job’s friends speak to him a third time and Job replies (22:1–31:40)\n5. Elihu speaks to Job (32:1–37:24)\n6. Yahweh answers Job out of the whirlwind (38:1–41:34) \n7. Conclusion (42:1–17)\n     - Job responds humbly\n     - Yahweh rebukes Eliphaz, Bildad, and Zophar (42:7–9)\n     - Yahweh restores Job to prosperity (42:10–17)\n\n### What is the book of Job about?\n\nThe book of Job is about a man named Job who experienced disaster even though he was faithful to Yahweh. Job speaks with three friends and asks why Yahweh has allowed him to experience trials and losses. The book teaches that we cannot understand all of Yahweh’s ways, and when we suffer, it is more important to trust Yahweh than it is to understand the reason for the suffering.\n\n### What title should translators give to this book?\n\nThe book of Job is named for Job, the main character in the book. His name is not related to the English word “job.” Translators might use the traditional title of “The Book of Job” or simply “Job.” Or they may choose a different title such as “The Book About Job” or “The Book About a Man Named Job.”\n\n### Who wrote the book of Job?\n\nWe do not know who wrote the book of Job. Many people suggest that Moses composed or compiled the book, but it may have been written after the time of Moses.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Does sin cause suffering?\n\nWhen a person sins against Yahweh, that can cause the person to experience suffering. People in the ancient Near East generally believed that a person suffered because they or their ancestors had sinned against God. This is what many religions teach. However, the book of Job shows that a person may suffer even if he or she has not sinned. (See: [[rc://*/tw/dict/bible/kt/sin]])\n\n### Were Eliphaz, Bildad, and Zophar really Job’s friends?\n\nJob 2:11 describes Eliphaz, Bildad, and Zophar as the friends of Job. However, they did not succeed in comforting Job. Instead, they tried to persuade Job to say something about God that Job believed was not true. So we might wonder if it is right to translate the word as “friends.” What they said did not help Job, because they did not understand the full truth about God. However, they did care about Job, and they did want to help him. In those ways, they did what friends would do, and in that sense the word “friends” is appropriate.\n\n### When did the events in the book of Job take place?\n\nWe do not know when the events in the book of Job took place. The story is set around the time of Abraham and Isaac in the book of Genesis. However, some verses are similar to verses in the books of Proverbs and Isaiah, which were written many centuries after Abraham and Isaac lived. It is possible that the book of Job was written at a later time to describe the events of an earlier time.\n\n### The “sea monster”\n\nAncient peoples seem to have been aware of a large, fierce creature that lived in the ocean. They referred to it as the “sea monster.” People in Job's culture regarded the sea as the realm of watery chaos, and they associated this sea monster with that chaos. There are references to this creature in the book of Job under the names Leviathan in [3:8](../03/08.md), the “sea monster” in [7:12](../07/12.md), Rahab in [9:13](../09/13.md) and [26:12](../26/12.md), and the “fleeing serpent” in [26:13](../26/13.md). The description of Leviathan in chapter 41 also seems to be a description of this same creature. Notes at these various places suggest how you might represent these references in your translation.\n\n## Part 3: Important Translation Issues\n\n### Is the book of Job difficult to translate?\n\nThe book of Job has many uncommon words and phrases. That makes parts of it hard to understand and translate. For this reason, translators may decide to translate this book after they have translated other books of the Bible. However, since the writer did not connect Job with a specific time or place in history, the translator may also decide to translate this book before other Old Testament books.\n\n### What style of writing is in the book of Job?\n\nThe author begins and ends the book of Job by relating what happened to Job in narrative form. In the rest of the book, the characters speak in poetry. In the ancient Near East, writers often used poetry to discuss matters of wisdom. The relationship of human conduct to human prosperity and suffering is an important theme in wisdom literature.\n\n### Hebrew poetry: parallelism\n\nHebrew poetry was based on repetition of meaning rather than on repetition of sound like poetry in some other languages. A speaker would typically say one phrase and then say another phrase (or two) that meant a similar thing, an opposite thing, or something supplementary. The subsequent phrase or phrases would advance the meaning of the first phrase in one of these ways. In many cases it would be good to show this to your readers by including all the phrases in your translation rather than combining them. However, if the repetition might be confusing, you could connect the phrases with a word that would show how the later phrase or phrases are advancing the meaning of the first one. Throughout the book, notes will model ways of doing this in various cases, although not in most cases. It is hoped that these illustrations will give translators an idea of what they could do in any given instance.\n\n### Hebrew poetry: chiasm\n\nHebrew poetry often uses a form known as “chiasm.” It will make a statement consisting of two elements. It will then make a parallel, contrasting, or supplemental statement consisting of those same two elements, but in reverse order. For example, Job says in 3:5:\n\nMay it not rejoice among the days of the year;\ninto the number of the months may it not come.\n\nYou may wish to show this form in your translation by following the Hebrew word order, even if that would not ordinarily be the order you would follow in your language. For 3:5, English might ordinarily say:\n\nMay it not rejoice among the days of the year;\nmay it not come into the number of the months.\n\nBut the ULT follows the Hebrew word order in order to give an idea of this characteristic form of Hebrew poetry.\n\n### “answered and said”\n\nThe author uses the phrase “answered and said” many times in the book of Job. This phrase expresses a single idea by using two words connected with “and”. The word “answered” tells for what purpose a person “said” something. Specifically, they said it in order to answer or respond to what someone else said. If it would be more natural in your language, you could express this meaning with an equivalent phrase that does not use “and,” such as “responded.” (See: [[rc://*/ta/man/translate/figs-hendiadys]])\n\n### “fear”\n\nIn several places in the book, the author uses a word from the root “fear,” such as the verb “fear” or the adjective “fearful,” in a specific sense. He uses the word to describe an awe of God that leads to holy living. He is not referring to an emotion and saying that the person is afraid of God. He means that the person respects and obeys God. Notes will call attention to this usage where it occurs, and they will suggest translations such as the verb “respect” and the adjective “respectful.” (See: [[rc://*/ta/man/translate/figs-idiom]])\n\n### “behold”\n\nIn many places in the book, characters use the term “behold” to focus their listeners’ attention on what they is about to say. Your language may have a comparable expression that you could use in your translation in these instances.\n\n### “nose”\n\nIn several places in the book, various characters use the term “nose” to mean anger. They do this by association with the way that a person who is angry breathes heavily through his nose. Your language and culture may also associate anger with a particular part of the body. If so, you could use an expression involving that part of the body in your translation. You could also use plain language and say “anger.”
1:intro	lym1				0	# Job 1 General Notes\n\n## Structure and Formatting\n\nThis chapter introduces a story about a man named Job who lived during a time long before the author.\n\n## Special Concepts in This Chapter\n\n### Wealth\n\nIn the time and place in which the book of Job is set, a person’s wealth was measured by the number of animals he owned. The book describes how Job owned thousands of animals in order to indicate that he was very rich. (See: [[rc://*/ta/man/translate/figs-explicit]])\n\n### Sacrifices\n\nJob was a man who obeyed Yahweh carefully. We might therefore wonder why he offered sacrifices on behalf of his children, as 1:5 describes, since he was not one of the descendants of Aaron, who were the only ones whom the law of Moses allowed to offer sacrifices. It must be remembered that Job lived prior to the time when God gave Moses the law, so his religious practices were different from those of the Hebrew people after Moses. In Job’s culture, it was normal and acceptable for the father to act as a priest for his family and to offer sacrifices on their behalf. The events that this book relates took place about the same time as the life of Abraham. Therefore, this book corresponds more with Genesis 12–50 than with the rest of the Old Testament. (See:[[rc://*/tw/dict/bible/kt/godly]] and [[rc://*/tw/dict/bible/kt/lawofmoses]])\n\n## Translation Issues in This Chapter\n\n### “the adversary”\n\nThe Hebrew word satan means “adversary.” The Old Testament uses the word in that sense in several places, for example, 1 Kings 11:14, “Yahweh raised up an adversary against Solomon, Hadad the Edomite.” In chapters 1 and 2 of the book of Job, there is a character called “the satan” or “the adversary.” This seems to be a created angelic being who opposes righteous people and accuses them before God of having wrong motives. Many interpreters of the book of Job identify this character with Satan, the devil. The UST follows that interpretation, but the ULT translates the term more basically as “adversary.” You can decide how to translate this term in your own translation.
1:1	j000		rc://*/ta/man/translate/writing-participants	אִ֛ישׁ הָיָ֥ה בְ⁠אֶֽרֶץ־ע֖וּץ	1	The author is introducing **Job** as the main participant in the story. If your language has its own way of introducing participants, you can use it here in your translation. Alternate translation: “There once was a man who lived in the land of Uz”
1:1	k5g4		rc://*/ta/man/translate/translate-names	ע֖וּץ & אִיּ֣וֹב	1	The word **Uz** is the name of a place, and the word **Job** is the name of a man.
1:1	r5aj		rc://*/ta/man/translate/figs-doublet	תָּ֧ם וְ⁠יָשָׁ֛ר	1	The terms **blameless** and **righteous** mean similar things. The author is using the two terms together for emphasis. If it would be clearer for your readers, you could express the emphasis with a single phrase. Alternate translation: “very righteous”
1:1	qj15		rc://*/ta/man/translate/figs-idiom	וִ⁠ירֵ֥א אֱלֹהִ֖ים	1	As the General Introduction to Job discusses, here as in several other places in the book, the author is using a word from the root “fear,” in this case the word **fearful**, in a particular sense. He is describing an awe of God that leads to holy living. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: “both respectful of God”
1:1	y3ar		rc://*/ta/man/translate/figs-metaphor	וְ⁠סָ֥ר מֵ⁠רָֽע	1	The author is speaking figuratively of Job as if he physically **turned** away from evil. He means that he did not live in an evil way but instead lived in the right way. If it would be clearer in your language, you could state the meaning plainly. Alternate translation: “and careful not to do anything wrong”
1:2	j001		rc://*/ta/man/translate/writing-background	וַ⁠יִּוָּ֥לְדוּ ל֛⁠וֹ שִׁבְעָ֥ה בָנִ֖ים וְ⁠שָׁל֥וֹשׁ בָּנֽוֹת	1	Here and through verse 5, the author is introducing background information about **Job** that will help readers understand what happens later in the story. In your translation, introduce this information in a way that would be natural in your own language and culture.
1:2	j002		rc://*/ta/man/translate/figs-activepassive	וַ⁠יִּוָּ֥לְדוּ ל֛⁠וֹ שִׁבְעָ֥ה בָנִ֖ים וְ⁠שָׁל֥וֹשׁ בָּנֽוֹת	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “Job had seven sons and three daughters”
1:3	j003		rc://*/ta/man/translate/figs-idiom	בְּנֵי־קֶֽדֶם	1	The expression **sons of** describes people who share a certain quality. In this case, the author is using the expression to describe people who have the quality of living in **the East**. If it would be helpful to your readers, you could use an equivalent idiom from your language or state the meaning plainly. Alternate translation: “the people who lived in the East”
