Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	hk4p				0	# Introduction to Jonah\n\n## Part 1: General Introduction\n\n### Outline of the book of Jonah\n\n1. Jonah tries to run away from Yahweh. (1:1–2:10)\n* Jonah disobeys Yahweh’s first call to go to Nineveh. (1:1–3)\n* Jonah is on the ship with the Gentile sailors. (1:4–16)\n* Yahweh provides a large fish to swallow Jonah, who prays and is rescued. (1:17–2:10)\n2. Jonah goes to Nineveh. (3:1–4:11)\n* Yahweh again calls Jonah to go to Nineveh, and Jonah proclaims Yahweh’s message. (3:1–4)\n* Nineveh repents. (3:5–9)\n* Yahweh decides not to destroy Nineveh. (3:10)\n* Jonah is very angry with Yahweh. (4:1–3)\n* Yahweh teaches Jonah about grace and mercy. (4:4–11)\n\n### What is the book of Jonah about?\n\nJonah, son of Amittai, was a prophet from Gath Hepher, a village in the northern kingdom of Israel (2 Kings 14:25). This book tells about what happened to Jonah. It tells how Yahweh shows mercy and grace to Gentiles. It also tells how the Ninevites repented and called out to Yahweh for mercy. (See: [[rc://*/tw/dict/bible/kt/mercy]], [[rc://*/tw/dict/bible/kt/grace]] and [[rc://*/tw/dict/bible/kt/repent]])\n\nYahweh sent Jonah to warn the people of Nineveh that he was ready to punish them. Yahweh said that if they would repent he would not harm them. However, Jonah was an Israelite, and he did not want the Ninevites to repent and escape punishment. So Jonah tried to sail away in the opposite direction instead of doing what Yahweh told him to do, but Yahweh stopped him by sending a storm and a large fish to swallow him.\n\nJonah repented and warned the Ninevites. As a result, Yahweh taught him that he is concerned about all people, not just the Israelites.\n\n### How should the title of this book be translated?\n\nThis book is traditionally titled “The Book of Jonah” or just “Jonah.” Translators may decide to use a clearer title such as “The Book about Jonah.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### Who wrote the book of Jonah?\n\nJonah was probably involved in the writing of this book. However, scholars do not know who actually wrote it.\n\nJonah lived in the northern kingdom of Israel, during or before the reign of King Jeroboam II of Israel. He probably prophesied sometime between 800 and 750 B.C.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What was the nation of Assyria?\n\nDuring the time of Jonah, Assyria was the most powerful kingdom in the ancient Near East. Nineveh was the capital city of Assyria.\n\nAssyria was cruel to its enemies. Eventually, Yahweh punished the Assyrians for the wicked things that they did.\n\n### Did Assyria convert to Judaism?\n\nSome scholars think that the Assyrians started worshiping Yahweh alone. However, most scholars think that they continued to worship other false gods, perhaps after a brief time of worshiping Yahweh. (See: [[rc://*/tw/dict/bible/kt/falsegod]])
1:intro	xvp2				0	# Jonah 1 General Notes\n\n## Structure and Formatting\n\nThe narrative of this chapter starts abruptly. This is a typical way for a prophetic book to begin. The translator should not add information to smooth this introduction, but the first verse could be made into several sentences to make a more natural beginning. See the UST.\n\n## Special Concepts in this Chapter\n\n### Miracle\n\nIn verse [1:17](../01/17.md), there is the mention of “a great fish.” It may be difficult to imagine a sea creature big enough to swallow a man whole, and we do not know what kind of creature this was. Jonah then survives for three days and nights inside the fish. This is something that God made to happen. Translators should not try to explain miraculous events in an attempt to make them easier to understand. (See: [[rc://*/tw/dict/bible/kt/miracle]])\n\n## Important Figures of Speech in this Chapter\n\n### Situational irony\n\nThere is an ironic situation in this chapter. This means that people do or say things that are the opposite of what one would expect them to do. Jonah is a prophet of God, and as such, he would be expected to endeavor to do God’s will. Instead, he runs away from God. Although the Gentile sailors are not Israelites, they act out of faith and fear of Yahweh when sending Jonah to an almost certain death by throwing him overboard. (See: [[rc://*/ta/man/translate/figs-irony]], [[rc://*/tw/dict/bible/kt/prophet]] and [[rc://*/tw/dict/bible/kt/willofgod]] and [[rc://*/tw/dict/bible/kt/faith]])\n\n### Sea\n\nPeople in the ancient Near East saw the sea as chaotic, and they did not trust it. Some of the gods they worshiped were gods of the sea. Jonah’s people, the Hebrews, feared the sea greatly. However, Jonah’s fear of the sea was not enough to keep him from sailing on a ship to avoid doing what Yahweh commanded. (See: [[rc://*/tw/dict/bible/kt/fear]])\n\n## Other Possible Translation Difficulties in this Chapter\n\n### Implicit information\n\nEven though no one knows for sure where Tarshish was, the writer assumes that the reader knows that Jonah had to face away from Nineveh to go there. (See: [[rc://*/ta/man/translate/figs-explicit]])
1:1	jdr1		rc://*/ta/man/translate/writing-newevent	וַֽ⁠יְהִי֙ דְּבַר־יְהוָ֔ה	1	This phrase introduces the first half of the story of Jonah. This is a common way of beginning a historical story about a prophet. Use a word, phrase, or other method in your language that is natural for introducing a new event. The repetition of this same phrase introduces the second half of the story (3:1). 
1:1	ll6c		rc://*/ta/man/translate/figs-idiom	וַֽ⁠יְהִי֙ דְּבַר־יְהוָ֔ה	1	This is an idiom meaning that Yahweh spoke or communicated his message in some way. If this phrase does not have that meaning in your language, you could use an idiom from your language that does have this meaning or state the meaning plainly. Alternate translation: “The message of Yahweh came” or “Yahweh spoke his message”
1:1	jv8c		rc://*/ta/man/translate/translate-names	אֲמִתַּ֖י	1	**Amittai** is the name of Jonah’s father.
1:2	x6h7		rc://*/ta/man/translate/grammar-connect-logic-result	ק֠וּם לֵ֧ךְ אֶל־נִֽינְוֵ֛ה הָ⁠עִ֥יר הַ⁠גְּדוֹלָ֖ה וּ⁠קְרָ֣א עָלֶ֑י⁠הָ כִּֽי־עָלְתָ֥ה רָעָתָ֖⁠ם לְ⁠פָנָֽ⁠י	1	If it would be more natural in your language, you could reverse the order of these clauses since the second half of the verse gives the reason for the result that the first half describes. Alternate translation: “The wickedness of Nineveh has risen before my face. Therefore, get up, go to that great city, and call out against it” 
1:2	x5ua		rc://*/ta/man/translate/figs-explicit	נִֽינְוֵ֛ה הָ⁠עִ֥יר הַ⁠גְּדוֹלָ֖ה	1	Here, **great** means both large and important. You could include this information if that would be helpful to your readers. Alternate translation: “the large and important city, Nineveh”
1:2	v2xt		rc://*/ta/man/translate/figs-idiom	ק֠וּם	1	**Get up** is an idiom that means that Jonah should take action. It does not mean that he was sitting or lying down at the time that God spoke to him. If this phrase does not have that meaning in your language, you could use an idiom from your language that does have this meaning, state the meaning plainly, or use only the verb “Go.” Alternate translation: “Look alive” or “Prepare yourself” 
1:2	jqz9		rc://*/ta/man/translate/figs-metonymy	וּ⁠קְרָ֣א עָלֶ֑י⁠הָ	1	The pronoun **it** here, meaning the city of Nineveh, refers to the people living in and around the city. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: “and call out against the people there”
1:2	rki2		rc://*/ta/man/translate/figs-metaphor	עָלְתָ֥ה רָעָתָ֖⁠ם לְ⁠פָנָֽ⁠י	1	Here, God speaks of **wickedness** as if it were something that has physically **risen up** in front of him as it has continually grown larger. If it would be helpful in your language, you could state the meaning plainly. Alternate translation: “I know that they have been continually sinning” or “I have seen that their sin has been getting worse and worse”
1:2	r7kt		rc://*/ta/man/translate/figs-abstractnouns	עָלְתָ֥ה רָעָתָ֖⁠ם לְ⁠פָנָֽ⁠י	1	If your language does not use an abstract noun for the idea of **wickedness**, you could express the same idea in another way. Alternate translation: “I have seen how wicked they have become”
1:3	f5sr		rc://*/ta/man/translate/figs-idiom	וַ⁠יָּ֤קָם יוֹנָה֙ לִ⁠בְרֹ֣חַ	1	Here the words **got up** mean that Jonah took action in response to God’s command, but his action was to disobey instead of to obey. If your readers would misunderstand this, you could state the meaning plainly. See how you translated this idiom in [1:2](../01/02.md). Alternate translation: “But Jonah decided to run away” or “Jonah prepared himself, but to run away”
1:3	n96t		rc://*/ta/man/translate/figs-metaphor	מִ⁠לִּ⁠פְנֵ֖י יְהוָ֑ה & מִ⁠לִּ⁠פְנֵ֖י יְהוָֽה	1	The expression **the face of Yahweh** represents his presence. If it would be helpful in your language, you could state the meaning plainly. The idea of Yahweh’s presence also includes his knowledge, notice, attention, or judgment. By running away, Jonah is hoping that Yahweh will not notice that he is disobeying. Alternate translation: “from the presence of Yahweh” … “away from Yahweh”
1:3	g66v		rc://*/ta/man/translate/figs-explicit	לִ⁠בְרֹ֣חַ תַּרְשִׁ֔ישָׁ⁠ה	1	This city named Tarshish was in the direction opposite to Nineveh. You could include this information if that would be helpful to your readers. Alternate translation: “to flee in the opposite direction, toward Tarshish, away”
1:3	djv1			וַ⁠יֵּ֨רֶד יָפ֜וֹ	1	Alternate translation: “Jonah went to Joppa”
1:3	w3uc		rc://*/ta/man/translate/translate-unknown	אָנִיָּ֣ה	1	A **ship** is a a very large type of boat that can travel on the sea and carry many passengers or heavy cargo. If your readers would not be familiar with this type of boat, you could use the name of something similar in your area or you could use a more general term. Alternate translation: “a large boat”
1:3	pz67			וַ⁠יִּתֵּ֨ן שְׂכָרָ֜⁠הּ	1	Alternate translation: “There Jonah paid the cost of his trip”
1:3	g5xp		rc://*/ta/man/translate/figs-explicit	וַ⁠יֵּ֤רֶד בָּ⁠הּ֙	1	The ship is large enough that it has at least one lower deck that is inside the ship. This is where Jonah went. You could include this information if that would be helpful to your readers. Alternate translation: “and went down inside the ship”
1:3	i6bi		rc://*/ta/man/translate/writing-pronouns	עִמָּ⁠הֶם֙	1	The pronoun **them** refers to the other people who were traveling on the ship, and the only other people we are told about are members of the crew. If it would be helpful to your readers, you could say who these people are. Alternate translation: “with the crew”
1:4	jdr2		rc://*/ta/man/translate/grammar-connect-logic-contrast	וַֽ⁠יהוָ֗ה	1	**But** here indicates a strong contrast between what Jonah thought would happen and what God did. In your translation, indicate this strong contrast in a way that is natural in your language. Alternate translation: “However, Yahweh”
1:4	jdra		rc://*/ta/man/translate/figs-personification	וְ⁠הָ֣⁠אֳנִיָּ֔ה חִשְּׁבָ֖ה לְ⁠הִשָּׁבֵֽר	1	Here, the author speaks of **the ship** as if it were a person who could think. This clause means that the storm was so severe that the ship was close to breaking apart. If it would be helpful in your language, you could express the meaning plainly. Alternate translation: “so that the ship was almost breaking apart”
1:4	jl77		rc://*/ta/man/translate/figs-activepassive	לְ⁠הִשָּׁבֵֽר	1	If your language does not use this passive form, you could express the idea in active form or in another way that is natural in your language. Alternate translation: “of breaking apart”
1:5	d13r		rc://*/ta/man/translate/translate-unknown	הַ⁠מַּלָּחִ֗ים	1	The **sailors** were men who worked on a ship to control the sails and do other tasks. If your readers would not be familiar with this type of work, you could use a more general term or a phrase that explains it. Alternate translation: "the crew members" or “the men who worked on the ship” 
1:5	u2bj		rc://*/ta/man/translate/figs-explicit	אֱלֹהָי⁠ו֒	1	The author assumes that his audience will know that by **his own god** he does not mean the true God, Yahweh. If it would be helpful to your readers, you could state this explicitly in your translation. Alternate translation: "the idol or false god that he worshiped"
1:5	tg27		rc://*/ta/man/translate/figs-idiom	לְ⁠הָקֵ֖ל מֵֽ⁠עֲלֵי⁠הֶ֑ם	1	This could mean: (1) to make the ship lighter so that it would float better, Alternate translation: “to help the ship float better” or (2) to lighten or relieve a dangerous situation, Alternate translation: “to lessen the danger they were in”
1:5	uzt4		rc://*/ta/man/translate/writing-background	וְ⁠יוֹנָ֗ה יָרַד֙ אֶל־יַרְכְּתֵ֣י הַ⁠סְּפִינָ֔ה וַ⁠יִּשְׁכַּ֖ב וַ⁠יֵּרָדַֽם	1	This sentence provides background information about Jonah's circumstances to help readers understand what happens next in the story. In your translation, present this information in a way that makes it clear that this is background information and that Jonah had already done this before the storm started.
1:5	f63r			יַרְכְּתֵ֣י הַ⁠סְּפִינָ֔ה	1	Alternate translation: “the interior of the ship”
