Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	axt4				0	# Introduction to Malachi\n## Part 1: General Introduction\n\n### Outline of Malachi\n\n1. The word of Yahweh comes to Israel (1:1)\n1. Yahweh loves Israel and rejects Esau (Edom) (1:2–5)\n1. A message against the priests (1:6–2:9)\n1. A message against Judah: they have broken faith by divorcing and intermarrying (2:10–16)\n1. A message about the day of refining (2:17–3:6)\n1. A message about tithing (3:7–12)\n1. A message about those who others treated shamefully, but who were faithful to Yahweh (3:13–18)\n1. Yahweh will punish the wicked and send Elijah before the “great and terrible day of Yahweh” (4:5–6)\n\n### What is the Book of Malachi about?\n\nThe Book of Malachi is about the prophecies that Malachi spoke to the Jews who had returned from Babylon to Judah. At that time, the Jews were discouraged even though they had finished building a new temple. The wonderful things that previous prophets had promised for Judah had not yet happened. And the Persian Empire still ruled over them. As a result, they no longer were concerned about the law or worshiping Yahweh. Malachi rebuked them for not trusting in Yahweh. But he also promised them that Yahweh would do everything that he promised to do.\n\n### How should the title of this book be translated?\n\nThis book traditionally has been titled “Malachi” or “The Book of Malachi.” Translators may decide to call it “The Book about Malachi” or “The Sayings of Malachi.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### Who wrote the Book of Malachi?\n\nThe prophet Malachi wrote these messages from Yahweh to the Jews. However, since “Malachi” means “my messenger,” it is possible that this was a title for this prophet. If so, we do not know his real name.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What was meant by the day of Yahweh?\n\nMalachi spoke about “the day” several times. This is the same as “the day of Yahweh.” In the Book of Malachi, this is the time when Yahweh would judge his people. He would remove those who wickedly sin and bless those who trust in him. (See: [[rc://*/tw/dict/bible/kt/dayofthelord]] and [[rc://*/tw/dict/bible/kt/sin]])
1:intro	b7vm				0	# Malachi 1 General Notes\n\n## Special concepts in this chapter\n\n### Yahweh of hosts\nThis is an important title used in this chapter. It reminds the reader of the great power Yahweh has to punish the nations. (See: [[rc://*/tw/dict/bible/kt/yahwehofhosts]])\n\n## Important figures of speech in this chapter\n\n### Rhetorical questions\nThere are many rhetorical questions in this chapter. They all have a rather dramatic effect. They increase the emotional connotations of what is being said. (See: [[rc://*/ta/man/translate/figs-rquestion]])
1:1	qm8z			The declaration of the word of Yahweh to Israel by the hand of Malachi	0	If it would be helpful in your language, you could express this question as a statement. “This is the declaration of the word of Yahweh to Israel by the hand of Malachi”
1:1	x4vm			Yahweh	0	This is the name of God that he revealed to his people in the Old Testament. See the translationWord page about Yahweh concerning how to translate this.
1:1	lx85		rc://*/ta/man/translate/figs-idiom	by the hand of Malachi	0	The phrase “by the hand of” is an idiom that means that Yahweh used Malachi to deliver his message. Alternate translation: “through Malachi” or “spoken to them by Malachi” (See: [[rc://*/ta/man/translate/figs-idiom]])
1:2	vb2m		rc://*/ta/man/translate/figs-rquestion	How have you loved us?	0	This question indicates that the people doubt the truth of what God says. If it would be helpful in your language, you could express this question as a statement. Alternate translation: “You have not shown that you love us.” (See: [[rc://*/ta/man/translate/figs-rquestion]])
1:2	cy61		rc://*/ta/man/translate/figs-rquestion	Was not Esau Jacob’s brother?	0	This question, a reply of Yahweh reminding the people of their nation’s history, may also be expressed as a statement. Alternate translation: “You know that Esau was Jacob’s brother.” (See: [[rc://*/ta/man/translate/figs-rquestion]])
1:2	l68t			declares Yahweh	0	Alternate translation: “Yahweh has solemnly said this”
1:2	ef9g		rc://*/ta/man/translate/figs-explicit	I have loved Jacob	0	Here “loved” implies a relationship of loyalty between Yahweh and Jacob, in which a covenant existed between them. This can be made explicit. Alternate translation: “as you know, I obligated myself with a covenant to love Jacob” (See: [[rc://*/ta/man/translate/figs-explicit]])
1:2	j176		rc://*/ta/man/translate/figs-synecdoche	I have loved Jacob	0	This name “Jacob” refers here not only to Jacob, but also to all his descendants. (See: [[rc://*/ta/man/translate/figs-synecdoche]])
1:3	xf47			Esau I have hated	0	Here “hated” implies that there was no covenant between Yahweh and Esau. However, it does not imply that Yahweh was emotionally against Esau.
