Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	f68r				0	# Introduction to Ruth\n\n## Part 1: General Introduction\n\n### Outline of Ruth\n\n1. How Ruth came to Bethlehem with Naomi (1:1–22)\n1. Boaz helps Ruth as she gleans (2:1–23)\n1. Boaz and Ruth at the threshing floor (3:1–18)\n1. How Ruth became the wife of Boaz (4:1–16)\n1. Obed born to Ruth and Boaz; the genealogy of David (4:13–22)\n\n### What is the Book of Ruth about?\n\nThis book is about a non-Israelite woman named Ruth. It tells how she came to join the people of Yahweh. The book also explains how Ruth became an ancestor of King David.\n\n### How should the title of this book be translated?\n\nThis book traditionally has the title **Ruth** because she is the main person in it. Translators can use a title such as **The Book about Ruth**. (See: [[rc://*/ta/man/translate/translate-names]])\n\n### When did the events in the Book of Ruth occur?\n\nThe story of Ruth is set during the time when there were **judges** in Israel. This was after the people of Israel had entered into the land of Canaan, but before they had a king. The “judges” were men and women whom God chose to help the Israelites defeat their enemies. These leaders usually continued to help the people by deciding disputes among them. They also helped them make important decisions. Many of these leaders served all the people of Israel, but some of them may have served only certain tribes.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Why does Scripture include a book about a woman from the foreign land of Moab?\n\nIn a period when Israel was often unfaithful to Yahweh, a woman from Moab shows great faith in him. The Israelites’ frequent lack of faith in Yahweh is contrasted with the faith of this woman from a foreign land. (See: [[rc://*/tw/dict/bible/kt/faithful]])\n\n### What important marriage custom is found in the Book of Ruth?\n\nIsraelites practiced what is called **levirate marriage**. In this custom, the closest male relative of a man who died without any children was obligated to provide for his widow by marrying her. Usually this would be one of the man’s brothers. Any children born to them were to be regarded as children of the dead man. They did this so that the dead man would have descendants. If the closest relative did not marry the woman, another relative could fulfil this obligation.\n\n### What was a **kinsman-redeemer**?\n\nA person’s close relative or relatives were expected to act as **kinsmen-redeemers** (2:20 ULT) for him or her. They were responsible to provide for a relative in need, fulfil obligations of **levirate marriage**, and buy back land into the family that had been sold to someone outside of the family. In the Book of Ruth, Boaz is one such kinsman-redeemer.\n\n### What was **gleaning** in the Book of Ruth?\n\nIn Israel, poor people were allowed to follow after the men who harvested a field. These **gleaners** picked up stalks of grain that the harvesters missed or dropped. In this way, poor people were able to find some food. Ruth became a gleaner in a field belonging to Boaz.\n\n### What is covenant faithfulness or covenant loyalty?\n\nA covenant is a formal, binding agreement between two parties that one or both parties must fulfill. Covenant faithfulness or covenant loyalty is when a person does what they said they would do, according to the covenant that they had made. God made a covenant with Israel, in which he promised that he would love and be faithful to the Israelites. The Israelites were to do the same toward him and toward each other.\n\nThe Book of Ruth shows that what kinsmen-redeemers do for their relatives is part of Israel’s duties in God’s covenant with them. The story of Boaz, Ruth, and Naomi gives examples to all of Israel of the good effects of covenant faithfulness. (See: [[rc://*/tw/dict/bible/kt/covenantfaith]])\n\n### What function did city gates have in the ancient Near East?\n\nCity gates in the time of Boaz were meeting places for the city elders. Elders were honored men who decided business matters and legal matters together. The city walls were thick, especially at the entryways, and the gates had guard towers beside and above them. Therefore the gateway opening provided a large shady area for public meetings, and there were places for important people to sit. For this reason, Boaz and the other elders sat in the gateway.\n\nSome English Bible versions speak of Boaz sitting **at** the city gate, but it may be best for translators to make clear that Boaz sat **in** the city gateway.\n\n## Part 3: Important Translation Issues\n\n### How does the Book of Ruth change from one topic to another topic?\n\nThe Book of Ruth often changes to new topics or new parts of the story. The ULT uses various words to indicate these changes, such as **so,** **then,** and **now**. Translators should use the ways most natural in their own languages to signal these changes.
1:intro	irf4				0	# Ruth 1 General Notes\n\n## Structure and formatting\n\n### **It happened in the days when the judges ruled**\n\nThe events of this book occur during the period of Judges. The book is concurrent with the book of Judges. To understand the historical context of the book, the translator may wish to review the book of Judges.\n\n## Special concepts in this chapter\n\n### Women without a husband or children\n\nIn the ancient Near East, if a woman lacked a husband or sons, she was considered to be in a dire circumstance. She would not have been able to provide for herself. This is why Naomi told her daughters to remarry.\n\n## Other possible translation difficulties in this chapter\n\n### Contrast\n\nThe actions of Ruth the Moabite are intended to contrast with the actions of Naomi the Jew. Ruth shows great faith in Naomi’s God, while Naomi does not trust in Yahweh. (See: [[rc://*/tw/dict/bible/kt/faith]] and [[rc://*/tw/dict/bible/kt/trust]])
1:1	sb2j		rc://*/ta/man/translate/writing-newevent	וַ⁠יְהִ֗י	1	**It was** or **This is what happened**. This is a common way of beginning a historical story. (See: [[rc://*/ta/man/translate/writing-newevent]])
1:1	m9nl		rc://*/ta/man/translate/grammar-connect-time-simultaneous	בִּ⁠ימֵי֙ שְׁפֹ֣ט הַ⁠שֹּׁפְטִ֔ים	1	**during the time when judges led and governed Israel** (See: [[rc://*/ta/man/translate/grammar-connect-time-simultaneous]])
1:1	nm13		rc://*/ta/man/translate/figs-explicit	בָּ⁠אָ֑רֶץ	1	This refers to the land of Israel. Alternate translation: “in the land of Israel” (See: [[rc://*/ta/man/translate/figs-explicit]])
1:1	mmb4		rc://*/ta/man/translate/writing-participants	אִ֜ישׁ	1	**a man**. This is a common way of introducing a character into a story. (See: [[rc://*/ta/man/translate/writing-participants]])
1:2	e53a			אֶפְרָתִ֔ים מִ⁠בֵּ֥ית לֶ֖חֶם יְהוּדָ֑ה	1	The name **Ephrathites** refers to the people from the clan of Ephrathah, who lived in the area around Bethlehem. Alternate translation: “from the clan of Ephrathah, from Bethlehem, in Judah.”
1:3	rxb1			הִ֖יא וּ⁠שְׁנֵ֥י בָנֶֽי⁠הָ׃	1	**Naomi had only her two sons remaining with her**
1:4	pk7g		rc://*/ta/man/translate/figs-idiom	וַ⁠יִּשְׂא֣וּ לָ⁠הֶ֗ם נָשִׁים֙	1	**married women**. This is an idiom for marrying women. They did not take women who were already married. (See: [[rc://*/ta/man/translate/figs-idiom]])
1:4	k7y9			מֹֽאֲבִיּ֔וֹת	1	Naomi’s sons married women who were from the tribe of Moab. The Moabites worshiped other gods.
