Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	yx6e				0	# Introduction to Zechariah\n## Part 1: General Introduction\n\n### Outline of the Book of Zechariah\n\n1. Zechariah calls the returning nation of Israel to repent and return to Yahweh (1:1–6)\n1. The eight night visions (1:7-6:8)\n    * Yahweh sends his messengers throughout the whole earth (1:7–17)\n    * Four horns and four craftsmen (1:18–21)\n    * The measuring line (2:1–13)\n    * The priest in filthy clothes (3:1–10)\n    * The golden lampstand olive trees (4:1–14)\n    * The flying scroll (5:1–4)\n    * The woman in a basket (5:5–11)\n    * Four chariots (6:1–8)\n1. A crown for the high priest (6:9–15)\n1. Questions about fasting (7:1–8:23)\n1. Yahweh judges the nations and saves his people (9:1–11:17)\n1. Final message (12:1-14:21)\n    * Yahweh will finally defeat Israel’s enemies (12:1-9)\n    * Israel mourns for the one they pierced (12:10-14)\n    * Yahweh purifies Israel and removes false prophets (13:1-6)\n    * Yahweh comes as king (14:1–21)\n\n### What is the Book of Zechariah about?\n\nZechariah wrote to the people of Judah who returned from being exiled in Babylon. The people of Judah continued to sin, as their ancestors did before they went into exile. Zechariah called the people to repent and to obey Yahweh. And he called them to renew the covenant with Yahweh. Zechariah also prophesied about the Messiah and about Israel finally being victorious over her enemies. (See: [[rc://*/tw/dict/bible/kt/covenant]])\n\n### How should the title of this book be translated?\n\nThis book traditionally has been titled “Zechariah” or “The Book of Zechariah.” Translators may decide to call it the “The Book About Zechariah” or “The Sayings of Zechariah.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### Who wrote the Book of Zechariah?\n\nThe prophet Zechariah wrote this book between 520 and 518 B.C.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Did Zechariah prophesy before Ezra, Nehemiah, and Haggai?\n\nZechariah prophesied before the time of Ezra and Nehemiah. He prophesied at the same time as Haggai and continued after Haggai.\n\n## Part 3: Important Translation Issues\n\n### What is the meaning of the term “Israel”?\n\nThe name “Israel” is used in many different ways in the Bible. Jacob was a son of Isaac. God changed Jacob’s name to Israel. The descendants of Jacob became a nation also called Israel. Eventually, the nation of Israel split into two kingdoms. The northern kingdom was named Israel. The southern kingdom was named Judah. Zechariah uses the term “Israel” to refer to both the nation of Israel and the northern kingdom of Israel.\n\n### What imagery does Zechariah use in reference to the Messiah?\n\nZechariah presented the Messiah as both a king and a shepherd. Zechariah said that the Messiah would come and deliver his people. However, the Messiah would also be pierced (12:10) and struck with the sword (13:7). (See: [[rc://*/tw/dict/bible/kt/christ]])\n\n### What does the phrase “that day” mean?\n\nZechariah often spoke of the last days by using the phrase “that day” or “in that day.” When referring to a future “day,” the translator should be aware that the author may be speaking about the last days. (See: [[rc://*/tw/dict/bible/kt/lastday]])
1:intro	qki3				0	# Zechariah 1 General Notes\n\n## Structure and formatting\n\nThis chapter is written in prose mainly with imagery used throughout to portray Zechariah’s vision given by the Lord.\n\nSome translations prefer to set apart quotations. The ULT and many other English translations set lines 1:3-6, 14-17, which are extended quotations, farther to the right on the page than the rest of the text.\n\n## Special concepts in this chapter\n\n### Visions\nThis book contains a number of visions given to Zechariah, so the images are not ones Zechariah actually saw but were given to him in a vision or dream. It is important for each of these visions to keep their meanings and not be interpreted to mean any specific thing.\n\n## Other possible translation difficulties in this chapter\n\n### Date\nZechariah uses two separate dates in this first chapter. When compared to the book of Haggai, Zechariah’s prophecy was proclaimed just a few weeks after Haggai. However, they prophesied in two different places: Haggai was in Jerusalem and Zechariah was somewhere outside of Jerusalem. (See: [[rc://*/tw/dict/bible/kt/prophet]])
1:1	if96		rc://*/ta/man/translate/translate-hebrewmonths	In the eighth month	0	This is the eighth month of the Hebrew calendar. It is during the last part of October and the first part of November on Western calendars. (See: [[rc://*/ta/man/translate/translate-hebrewmonths]] and [[rc://*/ta/man/translate/translate-ordinal]])
1:1	fpf6		rc://*/ta/man/translate/translate-ordinal	the second year of Darius’ reign	0	“the second year of the reign of Darius the king” or “the second year since Darius became king” (See: [[rc://*/ta/man/translate/translate-ordinal]])
1:1	qr9f		rc://*/ta/man/translate/figs-idiom	the word of Yahweh came	0	This idiom is used to introduce a special message from God. Alternate translation: “Yahweh gave a message” or “Yawheh spoke this message” (See: [[rc://*/ta/man/translate/figs-idiom]])
1:1	e6fd			Yahweh	0	This is the name of God that he revealed to his people in the Old Testament. See the translationWord page about Yahweh concerning how to translate this.
1:1	ge9j		rc://*/ta/man/translate/translate-names	Berechiah & Iddo	0	These are the names of men. (See: [[rc://*/ta/man/translate/translate-names]])
1:2	huv9			exceedingly angry with your fathers	0	Alternate translation: “very angry with your forefathers”
1:3	wv9b		rc://*/ta/man/translate/figs-metaphor	Turn to me & and I will return to you	0	Yahweh speaks of having a change of attitude toward another person as if it were turning or returning. The people turning to Yahweh means that they will again be devoted to him and worship him, while Yahweh returning to the people means that he will again bless them and help them. (See: [[rc://*/ta/man/translate/figs-metaphor]])
1:3	ymr9		rc://*/ta/man/translate/figs-123person	this is the declaration of Yahweh of hosts	0	Yahweh speaks of himself by name to express the certainty of what he is declaring. Alternate translation: “this is what Yahweh of hosts has declared” or “this is what I, Yahweh of hosts, have declared” (See: [[rc://*/ta/man/translate/figs-123person]])
1:4	le2q		rc://*/ta/man/translate/figs-metaphor	Turn from your evil ways and wicked practices	0	No longer doing certain actions is spoken of as if it were turning away from those actions. The phrases “evil ways” and “wicked practices” mean basically the same thing. Alternate translation: “Stop doing all of your wicked actions” (See: [[rc://*/ta/man/translate/figs-metaphor]] and [[rc://*/ta/man/translate/figs-doublet]])
1:4	g1te		rc://*/ta/man/translate/figs-123person	this is Yahweh’s declaration	0	Yahweh speaks of himself by name to express the certainty of what he is declaring. See how you translated a similar phrase in [Zechariah 1:3](../01/03.md). Alternate translation: “this is what Yahweh has declared” or “this is what I, Yahweh, have declared” (See: [[rc://*/ta/man/translate/figs-123person]])
1:5	tk3p		rc://*/ta/man/translate/figs-rquestion	Your fathers, where are they? Where are the prophets, are they here forever?	0	These two rhetorical questions emphasize that both their ancestors and the prophets who proclaimed Yahweh’s message to their ancestors have died. The questions can be translated as a statement. Alternate translation: “Neither your fathers nor the prophets are here because they have all died.” (See: [[rc://*/ta/man/translate/figs-rquestion]])
