Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	jp2y				0	# Introduction to 1 Thessalonians\n\n## Part 1: General Introduction\n\n### Outline of the book of 1 Thessalonians\n\nIn this letter, the apostle Paul, along with Silvanus and Timothy, encourages and makes appeals to the Thessalonian church (See: rc://*/tw/bible/names/thessalonica.md). Paul is the spokesman for all of them, using “we” to refer to the group, but in certain places Paul speaks for himself using “I” (See [2:18](../02/18.md); [3:5](../03/05.md); [5:27](../05/27.md)). The background story for the apostles’ activity in Thessalonica can be found in Acts 17:1-10.\n\n1. Apostolic memories of the Thessalonian church (1:1-10)\n    * Greeting (1:1)\n    * Thanksgiving for the Thessalonian Christians (1:2-4)\n    * Examples of Thessalonian suffering (1:6-10)\n2. Apostolic authority (2:1-16)\n    * Persecution of the church (2:1-13)\n    * Opposition to the church (2:14-16)\n3. Timothy’s visit to Thessalonica (3:1-13)\n    * Reason for the visit (3:1-5)\n    * Report about the visit (3:6-13)\n4. Apostolic teachings (4:1-18)\n    * Holiness (4:1-8)\n    * Christian love (4:9-12)\n    * Manner of the Second Coming of Christ (4:13-18)\n5. Final teachings (5:1-28)\n    * Timing of the Second Coming of Christ (5:1-10)\n    * Final appeals and teachings (5:11-28)\n\n### Who wrote 1 Thessalonians?\n\nPaul wrote 1 Thessalonians, writing with the agreement of Silvanus and Timothy. Paul was from the city of Tarsus. He had been known as Saul in his early life. Before becoming a Christian, Saul was a Pharisee. He persecuted Christians. After he became a Christian, Paul traveled several times throughout the Roman Empire, telling people about Jesus. Paul wrote this letter while staying in the city of Corinth. Many scholars think 1 Thessalonians was the first letter Paul wrote of all Paul’s letters that are in the Bible.\n\nSilvanus is also mentioned in 2 Corinthians 1:19; 2 Thessalonians 1:1; 1 Peter 5:12. “Silas,” the name used in the book of Acts, is a contracted form of Silvanus; Silas and Silvanus are considered to be the same person. Timothy was leader of the church at Ephesus (See 1 Timothy 1:1-4). Paul wrote this letter while staying in the city of Corinth with these two men. The mention of all three men in 1:1 indicates they were in Thessalonica together at some point.\n\n### What is the book of 1 Thessalonians about?\n\nPaul wrote this letter to the church in the city of Thessalonica, after the Jews in the city forced him to leave. Ancient Thessalonica was located on the southeast coast of ancient Macedonia, and is now called Thessaloniki, located in northeast Greece. (See: rc://*/ta/man/translate/writing-background). In this letter Paul said he considered his visit to them a success, even though he was forced to leave (See Acts 17:1-10).\n\nPaul responded to the news from Timothy about the Thessalonian believers. The believers there were being persecuted. He encouraged them to continue living in a way that pleased God. He also comforted them by explaining what happens to those who die before Christ returns.\n\n### How should the title of this book be translated?\n\nTranslators may choose to call this book by its traditional title, “1 Thessalonians” or “First Thessalonians.” They may instead prefer to choose a clearer title, such as “Paul’s First Letter to the Church in Thessalonica,” or “The First Letter to the Church in Thessalonica.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n## Part 2: Important Religious and Cultural Concepts\n\n### Trinity\n\nIn this letter, the doctrine of the Holy Trinity finds solid support. The terms: God, Father, Son, Lord, Jesus, and Holy Spirit appear numerous times. (See: [[rc://*/tw/bible/kt/god]])\n\n### The gospel\n\nIn this letter, Paul frequently refers to the apostles’ ministry of the gospel and uses different phrases to communicate the concept of God’s good news about Jesus Christ. (See: [[rc://*/tw/bible/kt/goodnews]])\n\n### Prayer\n\nPaul reassures the Thessalonians that his group of apostles frequently prays for them (See [1:2](../01/02.md)). He also gives instructions about prayer (See [5:2](../05/02.md)), and asks the Thessalonians to pray for them (See [5:25](../05/25.md)). (See: [[rc://*/tw/bible/kt/pray]])\n\n### Faith and Faithfulness\n\nThrough the letter the Thessalonians are commended for their faithfulness to God. They are reminded to trust God and remain faithful to gospel living. (See: [[rc://*/tw/bible/kt/faithful]], [[rc://*/tw/bible/kt/faith]])\n\n### Apostolic authority\n\nMuch of this letter is a defense of the apostles authority, based on their teaching and living. The term “apostles” is used in [2:6](../02/06.md)) to reinforce that Paul, Silvanus, and Timothy are sent by God. (See: [[rc://*/tw/bible/kt/apostle]])\n\n### Second Coming of Christ\n\nPaul wrote much in this letter about Jesus’ eventual return to Earth. When Jesus returns, he will judge all mankind. He will also rule over creation, and there will be peace everywhere.\n\n### The fate of reposed Christians\n\nPaul made clear that those who die before Christ’s return will come back to life and be with Jesus. They will not remain dead forever. Paul wrote this to encourage the Thessalonians, for some of them worried that those Christians who died would miss the great “day of the Lord” when Jesus returns.\n\n### Idolatry\n\nThe Greek and Roman cultural background in Thessalonica meant that many members of the church were former pagans who practiced some sort of idolatry (See [1:9](../01/09.md)(See: [[rc://*/tw/bible/other/image]]).\n\n### Suffering\n\nMuch of this letter addresses both the sufferings of the apostles and the Thessalonian church for faithfulness to the gospel. (See: [[rc://*/tw/bible/other/afflict]], [[rc://*/tw/bible/other/persecute]], [[rc://*/tw/bible/other/suffer]])\n\n### Sanctification\n\nThe concept of holiness is prevalent in this letter. Chapter four discusses how a Christian should practice a holy life. (See: [[rc://*/tw/bible/kt/sanctify]])\n\n## Part 3: Important Translation Issues\n\n### What did Paul mean by expressions like “in Christ” and “in Christ Jesus” and “in the Lord Jesus Christ” and “in God the Father” and “in the Holy Spirit”?\n\nPaul meant to express the idea of a union between God and Christians that includes all three persons of the Trinity. Please see the introduction to the book of Romans for more details about these kinds of expressions.\n\n### What did Paul mean by expressions like “his coming” and “the coming of the Lord Jesus” and “the coming of the Lord Jesus Christ”?\n\nPaul used “coming” in a specific way in relation to Jesus Christ to refer to the time when he will come again to earth, this time displaying his glory and power and gathering his people to himself. Depending on the nuances of your language, you may need to translate this with a special concept or word.\n\n### What did Paul mean by expressions like “the word of God” or “the word of the Lord”?\n\nThroughout this letter, Paul uses these well-known phrases or abbreviations to refer to the gospel message.\n\n### What did Paul mean by expressions like “brothers”?\n\nThroughout this letter, “brothers” is a metaphor that refers to all believers, including females. (See [1:4](../01/04.md); 2:1, 9, 14, 17; 3:7; 4:1, 6, 10, 13; 5:1, 4, 12, 14, 26, 27)\n\n### “We” and “you”\n\nIn this letter, the words “we”, “us,” and “our” refer to Paul, Silvanus, and Timothy, unless otherwise noted. In addition, “we”, “us,” and “our” are used to convey that all three apostles are in agreement with the letter.\n\n### Major textual issues in the text of the book of First Thessalonians\n\nWhen ancient manuscripts of the Bible differ, ULT puts in its text the reading that scholars consider to be the most accurate, but it puts other possibly accurate readings in footnotes. The introductions to each chapter will discuss places where the ancient manuscripts differ in significant ways, and notes will address those places again where they occur in the book. If a translation of the Bible already exists in your region, consider using the readings found in that version. If not, we recommend that you follow the readings in the ULT text. (See: rc://*/ta/man/translate/translate-textvariants)\n* “Grace and peace to you” (See [1:1](../01/01.md)). Some other manuscripts read: “Grace and peace to you from God our Father and the Lord Jesus Christ.”\n* “but we became little children in the midst of you, as if a mother might comfort her own children” (See [2:7](../02/07.md)). Some other manuscripts read, “Instead, we were as gentle among you as a mother comforting her own children.”\n* “Timothy, our brother and a servant of God” (See [3:2](../03/02.md)). Some other manuscripts read: “Timothy, our brother and fellow worker for God.”\n\n(See: [[rc://*/ta/man/translate/translate-textvariants]])
1:intro	y8c5				0	# 1 Thessalonians 1 General Notes\n\n## Outline of 1 Thessalonians 1\n\n1. Greeting (1:1)\n2. Prayer of thanksgiving for the Thessalonian church (1:2-10)\n* Memory of the Thessalonians (1:2-5)\n    * apostolic prayers (1:2)\n    * work of the Thessalonians (1:2-3)\n    * God’s election of the Thessalonians (1:4-5)\n* Thessalonians’ example (1:6-10)\n    * reception of the apostles’ teaching (1:6)\n    * examples to Macedonia and Achaia (1:7-10)\n      * example of suffering (1:7)\n      * preaching of the gospel (1:8)\n      * turned away from idolatry to God (1:9)\n      * waiting for the Second Coming of Christ (1:10)\n\n## Structure and Formatting\n\nVerse 1 formally introduces this letter. Letters in the ancient Near East commonly had introductions of this type.\nVerses 2-4 give a general thanksgiving and encouragement to the Thessalonian church.\n\n## Special Concepts in this Chapter\n\n### Trinity\n\nGod the Father, God the Son, and God the Holy Spirit are mentioned numerous times in this chapter. They are described in their identity, activity, and the union that the Christian has in them.\n\n### Hardship\n\nLike the apostles before them, the Thessalonian church endured persecution for the sake of the gospel. The way that they responded with faith to the gospel message even in affliction and then preached that gospel to others made them examples to the churches throughout the regions of Macedonia and Achaia.\n\n### Faithfulness\n\nPaul mentions the faithfulness of the Thessalonian church throughout this chapter. See, for example, “work of faith” in 1:3, “example to all those who believe” in 1:7, and “faith toward God” in 1:8.
1:1	ms5e		rc://*/ta/man/translate/figs-ellipsis	Παῦλος, καὶ Σιλουανὸς, καὶ Τιμόθεος; τῇ ἐκκλησίᾳ	1	Here some words are omitted that a sentence would need in order to be complete in many languages. Alternate translation: “We are Paul, Silvanus, and Timothy, writing to the church” (See rc://*/ta/man/translate/figs-ellipsis)
1:1	zivb		rc://*/ta/man/translate/figs-explicit	Παῦλος, καὶ Σιλουανὸς, καὶ Τιμόθεος	1	Paul is understood to be the author of this letter. Silvanus and Timothy are with him as he writes and are in agreement with what he writes. If that might not be understood in your language, you could include this information in your translation. Alternate translation: “I, Paul, together with Silvanus and Timothy, write” (See: [[rc://*/ta/man/translate/figs-explicit]])
1:1	r7n0		rc://*/ta/man/translate/translate-names	Σιλουανὸς	1	The name **Silvanus** is a longer form of the name **Silas**, the form of the name used for this same man in the book of Acts. You could choose to use the shorter form here as well, or you could choose to use the longer form here and include a footnote explaining that they are forms of the same name. (See: [[rc://*/ta/man/translate/translate-names]])
1:1	z7wu		rc://*/ta/man/translate/figs-metaphor	ἐν Θεῷ Πατρὶ καὶ Κυρίῳ Ἰησοῦ Χριστῷ	1	Here Paul speaks figuratively of the believers as though they were occupying space inside of God and Jesus. This metaphor expresses the idea that believers are spiritually united to God and Jesus. If this might be misunderstood in your language, you could express the meaning in a non-figurative way. Alternative translation: “united to God the Father and the Lord Jesus Christ” or “sharing life with God the Father and the Lord Jesus Christ” (See: [[rc://*/ta/man/translate/figs-metaphor]])
1:1	vlb3		rc://*/ta/man/translate/guidelines-sonofgodprinciples	Θεῷ Πατρὶ καὶ Κυρίῳ Ἰησοῦ Χριστῷ	1	When **God** is called **Father** (See [1:3](../01/03.md)), it is meant to highlight his relationship to **Jesus** as “Son” (See [1:10](../01/10.md)). Here, the Old Testament title for **God**, **Lord**, is applied to **Jesus**, equating him with **God**. Be sure to accurately translate these titles in your translation. (See: [[rc://*/ta/man/translate/guidelines-sonofgodprinciples]])
1:1	luw5		rc://*/ta/man/translate/translate-blessing	χάρις ὑμῖν καὶ εἰρήνη	1	This phrase is a common biblical blessing formula and greeting (See Rom. 1:7; 1 Cor. 1:3; 2 Cor. 1:2; Gal. 1:3; Eph. 1:2; Phil. 1:2; Col. 1:2; 2 Th. 1:2; Philem. 1:3; 1 Pet. 1:2; 2 Pet. 1:2; Rev. 1:4). Use a form that people would recognize as a blessing that could be used as a greeting in your language. Alternate translation: “May God give you his grace and peace” or “I pray that God shows you favor and keeps you safe” (See: [[rc://*/ta/man/translate/translate-blessing]])
1:1	qx70		rc://*/ta/man/translate/figs-abstractnouns	χάρις ὑμῖν καὶ εἰρήνη	1	The words **grace** and **peace** are abstract nouns. Your language may have a particular way of expressing these concepts, such as with verbs or description words. If so, you could use them in your translation. Alternate translation: “We pray that God will treat you kindly and give you peaceful relationships.” (See: rc://*/ta/man/translate/figs-abstractnouns)
1:1	nn67		rc://*/ta/man/translate/figs-you	ὑμῖν	1	Throughout this letter the word **you** is plural and refers to the church of Thessalonica, unless otherwise noted. (See: rc://*/ta/man/translate/figs-you)
