Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	ih42				0	# Introduction to Amos\n\n## Part 1: General Introduction\n\n### Outline of the Book of Amos\n\n1. Amos introduced (1:1)\n1. Yahweh judges the nations (1:2-2:16)\n    * The surrounding nations (1:2–2:3)\n    * The southern kingdom (2:4–5)\n    * The northern kingdom (2:6–16)\n1. Amos prophesies against the people of Israel (3:1–6:14)\n1. Yahweh shows Amos several visions (7:1-9:10)\n1. Israel is to be restored (9:11–15)\n\n### What is the Book of Amos about?\n\nThe Book of Amos contains the words of Amos, a shepherd of Tekoa. Amos began to prophesy about 760 BC. He spoke Yahweh’s messages against God’s people behaving wickedly. He spoke messages to both the southern kingdom of Judah and the northern kingdom of Israel. (See: [[rc://*/tw/dict/bible/kt/evil]])\n\nYahweh gave Amos prophecies of judgment (Chapters 1-6) to proclaim to the people. Each of them begins with the phrase “This is what Yahweh says” (ULT).\n\nThree visions of Yahweh coming to judge the people are in the last part of the book (7:1-9:10). A final vision promises that Yahweh will restore Israel (9:11-15). He will restore the “tent of David.” This means a descendant of David would once again be king over Israel.\n\n### How should the title of this book be translated?\n\nThe traditional title of this book is “The Book of Amos” or just “Amos.” Translators may also call it the “The Book of the Sayings of Amos.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n### Who wrote the Book of Amos?\n\nThe prophet Amos probably wrote this book. He lived in the southern kingdom of Judah. Amos came from a poor family. They grew sycamore trees (7:14, 15) and were shepherds ([Amos 1:1](../../amo/01/01.md)). Though Amos was not trained as a prophet, he knew and understood the law of Moses. Also, Amos skillfully used expressive and meaningful words.\n\n## Part 2: Important Religious and Cultural Concepts\n\n### How is justice described in Amos?\n\nJustice is an important theme in the Book of Amos. Justice means people treating others fairly according to the law of Yahweh. People in Israel were oppressing and taking advantage of poor people, orphans, and widows. Amos explained that Yahweh would prefer that the people act justly rather than sacrifice to him. Truly obeying the law of Moses meant being just to other people. (See: [[rc://*/tw/dict/bible/kt/justice]] and [[rc://*/tw/dict/bible/kt/lawofmoses]])\n\n### What is a lawsuit?\n\nMany cultures have a process for resolving disputes through the use of courts. These legal disputes are called lawsuits. Amos uses various legal terms. Part of the book presents events in a courtroom. The people are introduced, the problem is explained, the people are examined, witnesses speak, and a verdict is given.\n\n## Part 3: Important Translation Issues\n\n### What is the meaning of the term “Israel”?\n\nThe name “Israel” is used in many different ways in the Bible. Jacob was a son of Isaac. God changed Jacob’s name to Israel. The descendants of Jacob became a nation also called Israel. Eventually, the nation of Israel split into two kingdoms. The northern kingdom was named Israel. The southern kingdom was named Judah. In Amos, “Israel” almost always refers to the northern kingdom of Israel. (See: [[rc://*/tw/dict/bible/kt/israel]])\n\n### Where do the various narratives begin and end?\n\nThe structure of the Book of Amos may make it difficult to understand where Amos ends one thought and begins another. It may be helpful to solve these issues with carefully divided lines or paragraphs.
1:intro	v72p				0	# Amos 1 General Notes\n\n## Structure and formatting\n\nThis book is written in a poetic form. Because it was written by a farmer, it includes many references to agricultural concepts.\n\n### “For three sins of Judah, even for four”\nThe phrase “For three sins of Judah, even for four,” is used to begin each oracle. This is not intended to be a literal count but is an idiom indicating a large number of sins. (See: [[rc://*/ta/man/translate/figs-idiom]] and [[rc://*/tw/dict/bible/kt/sin]])
1:1	zsg5		rc://*/ta/man/translate/writing-poetry	General Information:	0	# General Information:\n\nGod speaks through Amos using poetic language. (See: [[rc://*/ta/man/translate/writing-poetry]] and [[rc://*/ta/man/translate/figs-parallelism]])
1:1	e8f1		rc://*/ta/man/translate/figs-activepassive	These are the things concerning Israel that Amos, one of the shepherds in Tekoa, received in revelation	0	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “These are the things concerning Israel that God revealed to Amos, one of the shepherds in Tekoa” (See: [[rc://*/ta/man/translate/figs-activepassive]])
1:1	qz81			These are the things	0	Alternate translation: “This is the message”
1:1	a358		rc://*/ta/man/translate/translate-names	in Tekoa	0	“Tekoa” is the name of a town or village. (See: [[rc://*/ta/man/translate/translate-names]])
1:1	t6dv		rc://*/ta/man/translate/figs-activepassive	He received these things	0	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “God gave him these things” (See: [[rc://*/ta/man/translate/figs-activepassive]])
1:1	ffc4		rc://*/ta/man/translate/figs-idiom	in the days of Uzziah king of Judah, and also in the days of Jeroboam son of Joash king of Israel	0	The words “in the days of” is an idiom and refers to the time when each king reigned. Alternate translation: “when Uzziah was king of Judah, and also when Jeroboam son of Joash was king of Israel” (See: [[rc://*/ta/man/translate/figs-idiom]])
1:1	vmr4		rc://*/ta/man/translate/figs-explicit	two years before the earthquake	0	The assumed knowledge is that the original hearers would be aware of when a large earthquake had affected the area. (See: [[rc://*/ta/man/translate/figs-explicit]])
1:2	x1sx		rc://*/ta/man/translate/figs-parallelism	Yahweh will roar from Zion; he will raise his voice from Jerusalem	0	These two phrases share similar meanings. Together they emphasize that Yahweh shouts loudly as he prepares to judge the nation. (See: [[rc://*/ta/man/translate/figs-parallelism]])
