Reference	ID	Tags	SupportReference	Quote	Occurrence	Note
front:intro	gtn1				0	# Introduction to Romans\n\n## Part 1: General Introduction\n\n### Outline of the book of Romans\n\n1. Introduction (1:1–15)\n2. Main Theme: Righteousness is received by trusting in Jesus Christ (1:16–17)\n3. All mankind is condemned because of sin (1:18–3:20)\n4. Righteousness is received through Jesus Christ by trusting in him (3:21–5:21)\n5. Becoming like Christ in this life (6:1–8:39)\n6. God’s plan for Israel (9:1–11:36)\n7. Instructions for living as Christians (12:1–15:13)\n8. Conclusion (15:14–16:27)\n\n### Who wrote the book of Romans?\n\nThe Apostle Paul wrote the book of Romans and many other books in the New Testament. Paul was from the city of Tarsus. He had been known as Saul in his early life. Before becoming a Christian, Paul was part of a strict Jewish religious group called the Pharisees. He persecuted Christians. After he became a Christian, he traveled several times throughout the Roman Empire, telling people about Jesus.\n\nPaul probably wrote this letter while he was staying in the city of Corinth during his third trip through the Roman Empire.\n\n### What is the book of Romans about?\n\nPaul wrote this letter to the Christians in Rome. Paul wanted to get them ready to receive him when he visited them. He said his purpose was to “bring about the obedience of faith” ([16:26](../16/26.md)).\n\nIn this letter Paul most fully described the gospel of Jesus Christ. He explained that both Jews and non-Jews have sinned, and God will forgive them and declare them righteous only if they believe in Jesus (chapters 1–11). Then he gave them practical advice for how believers should live (chapters 12–16),\n\n### How should the title of this book be translated?\n\nTranslators may choose to call this book by its traditional title, “Romans.” Or they may choose a clearer title, such as “Paul’s Letter to the Church in Rome,” or “A Letter to the Christians in Rome.” (See: [[rc://*/ta/man/translate/translate-names]])\n\n## Part 2: Important Religious and Cultural Concepts\n\n### What are the titles used to refer to Jesus?\n\nIn Romans, Paul described Jesus Christ by many titles and descriptions: Jesus Christ ([1:1](../01/01.md)), the Seed of David ([1:3](../01/03.md)), the Son of God ([1:4](../01/04.md)), the Lord Jesus Christ ([1:7](../01/07.md)), Christ Jesus ([3:24](../03/24.md)), Propitiation ([3:25](../03/025.md)), Jesus ([3:26](../03/26.md)), Jesus our Lord ([4:24](../04/24.md)), Lord of Hosts ([9:29](../09/29.md)), a Stone of Stumbling and Rock of Offense ([9:33](../09/33.md)), the End of the Law ([10:4](../10/04.md)), the Deliverer ([11:26](../11/26.md)), Lord of the Dead and the Living ([14:9](../14/09.md)), and the Root of Jesse ([15:12](../15/12.md)).\n\n### How should theological terms in Romans be translated?\n\nPaul uses many theological terms that are not used in the four Gospels. As early Christians learned more about the meaning of Jesus Christ and his message, they needed words and expressions for new ideas. Some examples of these words are “justification” ([5:1](../05/01.md)), “works of the law” ([3:20](../03/20.md)), “reconcile” ([5:10](../05/10.md)), “propitiation” ([3:25](../03/25.md)), “sanctification” ([6:19](../06/19.md)), and “the old man” ([6:6](../06/06.md)). If your language doesn’t have similar words, you can develop short phrases to communicate these ideas. For example, the term “gospel” can be translated as “the good news about Jesus Christ.”\n\nTranslators should also remember that some of these terms have more than one meaning. The meaning will depend on how the author is using the word in that particular passage. For example, “righteousness” sometimes means that a person obeys God’s law. At other times, “righteousness” means that Jesus Christ has perfectly obeyed God’s law for us.\n\n### What did Paul mean by “a remnant” of Israel ([11:5](../11/05.md))?\n\nThe idea of a “remnant” is important both in the Old Testament and for Paul. Most of the Israelites were either killed or scattered among other people when the Assyrians and then the Babylonians conquered their land. Only a relatively few Jews survived. They were known as “the remnant.”\n\nIn [11:1–9](../11/01.md), Paul speaks of another remnant. This remnant is the Jews whom God saved because they believed in Jesus. (See: [[rc://*/tw/dict/bible/kt/remnant]])\n\n## Part 3: Important Translation Issues\n\n### What did Paul mean by being “in Christ”?\n\nThe phrase “in Christ” and similar phrases occur in [3:24](../03/24.md); [6:11](../06/11.md), [23](../06/23.md); [8:1](../08/01.md), [2](../08/02.md), [39](../08/39.md); [9:1](../09/01.md); [12:5](../12/05.md), [17](../12/17.md); [15:17](../15/17.md); and [16:3](../16/03.md), [7](../16/07.md), [9](../16/09.md), [10](../16/10.md). Paul used these kinds of phrases as a metaphor to express that Christian believers belong to Jesus Christ. Belonging to Christ means the believer is saved and is made a friend with God. The believer is also promised to live with God forever. However, this idea can be difficult to represent in many languages.\n\nThese phrases also have specific meanings that depend on how Paul used them in a particular passage. For example, in [3:24](../03/24.md) (“the redemption that is in Christ Jesus”), Paul referred to our being redeemed “because” of Jesus Christ. In [8:9](../08/09.md) (“you are not in the flesh, but in the Spirit”), Paul spoke of believers submitting “to” the Holy Spirit. In [9:1](../09/01.md) (“I tell the truth in Christ”), Paul meant that he is telling the truth that “is in agreement with” Jesus Christ.\n\nNevertheless, the basic idea of our being united with Jesus Christ (and with the Holy Spirit) is seen in these passages as well. Therefore, the translator has a choice in many passages that use “in.” He will often decide to represent the more immediate sense of “in,” such as, “by means of,” “in the manner of,” or “in regard to.” But, if possible, the translator should choose a word or phrase that represents the immediate sense and the sense of “in union with.” (See: [[rc://*/tw/dict/bible/kt/inchrist]])\n\n### How are the ideas of “holy,” “saints” or “holy ones,” and “sanctify” represented in Romans in the ULT?\n\nThe Scriptures use such words to indicate any one of some various ideas. For this reason, it is often difficult for translators to represent them well in their versions. In translating into English, the ULT uses the following principles:\n\n* Sometimes the meaning in a passage implies moral holiness. Especially important for understanding the gospel is the fact that God considers Christians to be sinless because they are united to Jesus Christ. Another related fact is that God is perfect and faultless. A third fact is that Christians are to conduct themselves in a blameless and faultless manner in life. In these cases, the ULT uses “holy,” “holy God,” “holy ones” or “holy people.” (See: [1:7](../01/07.md))\n* Sometimes the meaning in a passage indicates a simple reference to Christians without implying any particular role filled by them. In cases where some other English versions have “saints” or “holy ones,” the ULT uses “believers.” (See: [8:27](../08/27.md); [12:13](../12/13.md); [15:25](../15/25.md), [26](../15/26.md), [31](../15/31.md); [16:2](../16/02.md), [15](../16/15.md))\n* Sometimes the meaning in a passage indicates the idea of someone or something set apart for God alone. In these cases, the ULT uses “set apart,” “dedicated to,” “consecrated,” or “reserved for.” (See: [15:16](../15/16.md))\n\nThe UST will often be helpful as translators think about how to represent these ideas in their own versions.\n\n### What are the major issues in the text of the book of Romans?\n\nFor the following verses, modern versions of the Bible differ from older versions. The ULT includes the modern reading and puts the older reading in a footnote.\n\n* “he \\[God\\] works all things together for good” ([8:28](../08/28.md)). Some older versions read, “All things work together for good.”\n* “But if it is by grace, it is no longer by works. Otherwise grace would no longer be grace” ([11:6](../11/06.md)). Some older versions read: “But if it is by works, then is it no more grace: otherwise work is no more work.”\n\nThe following verse is not in the best ancient copies of the Bible. Translators are advised not to include this verse. However, if in the translators’ region there are older Bible versions that have this verse, the translators can include it. If it is translated, it should be put inside square brackets (\\[\\]) to indicate that it is probably not original to the book of Romans.\n\n* “May the grace of our Lord Jesus Christ be with you all. Amen” ([16:24](../16/24.md)).\n\n(See: [[rc://*/ta/man/translate/translate-textvariants]])
1:intro	hn5n				0	# Romans 1 General Notes\n\n## Structure and Formatting\n\n1. Introduction (1:1–15)\n    * Greeting (1:1–7)\n    * Paul plans to visit Rome (1:8–15)\n2. Main Theme: Righteousness is received by having faith in Jesus Christ (1:16–17)\n3. All mankind is condemned because of sin (1:18–3:20)\n    * All non-Jews have sinned (1:18–32)\n\n## Special Concepts in this Chapter\n\n### The gospel\n\nThis chapter refers to the contents of the book of Romans as “the gospel” ([1:2](../rom/01/02.md)). Romans is not a Gospel as are Matthew, Mark, Luke, or John, which are historical accounts of the life of Jesus. Instead, chapters 1–8 present the biblical gospel, which is the good news of salvation. The gospel contains the following true ideas: everyone has sinned, Jesus died for our sins, and Jesus came back to life again so that we might live for his glory and receive eternal life when we die.\n\n### Universal Condemnation and the Wrath of God\n\nIn this chapter Paul explains that no one has an excuse for sinning. We all know about the true God, Yahweh, from his creation all around us. Because of our sin and our sinful nature, every person justly deserves the eternal punishment of God. The requirement for this punishment was satisfied by Jesus dying on a cross for those who believe in him. (See: [[rc://*/tw/dict/bible/kt/believe]] and [[rc://*/tw/dict/bible/kt/sin]])\n\n## Important Figures of Speech in this Chapter\n\n### “God gave them over”\n\nMany scholars view the phrases “God gave them over” and “God gave them up” as theologically significant. For this reason, it is important to translate these phrases with God playing a passive role in the action. God allows men to pursue their own sinful desires; he does not force them to act sinfully. (See: [[rc://*/ta/man/translate/figs-activepassive]])
1:1	x3em		rc://*/ta/man/translate/figs-123person	Παῦλος	1	In the culture of this time, letter writers would give their own names first. Your language may have a particular way of introducing the author of a letter, and if it would be helpful to your readers, you could use it here. Alternate translation: “From Paul” (See: [[rc://*/ta/man/translate/figs-123person]])
1:1	e417		rc://*/ta/man/translate/figs-distinguish	δοῦλος Χριστοῦ Ἰησοῦ, κλητὸς ἀπόστολος	1	These two phrases give further information about Paul. He describes himself as being someone whom God has given the position and authority of being Christ’s **servant** and **apostle**. If it would be helpful in your language, you could state this explicitly. Alternate translation: “a person whom God has made a servant of Christ Jesus, and whom he has called to represent him” (See: [[rc://*/ta/man/translate/figs-distinguish]])
1:1	v5b9		rc://*/ta/man/translate/figs-activepassive	κλητὸς ἀπόστολος, ἀφωρισμένος	1	If your language does not use the passive form in this way, you can state this in active form or in another way that is natural in your language. Alternate translation: “whom Jesus called to be an apostle and set apart” (See: [[rc://*/ta/man/translate/figs-activepassive]])
1:1	ukts		rc://*/ta/man/translate/grammar-connect-logic-goal	εἰς εὐαγγέλιον Θεοῦ	1	Here, **for** introduces a purpose clause. Paul is stating the purpose for which Jesus**set** him **apart**. Use a natural way in your language for introducing a purpose clause. Alternate translation: “in order to preach the gospel of God” or “so that I could announce the good news from God” (See: [[rc://*/ta/man/translate/grammar-connect-logic-goal]])
1:1	ji90		rc://*/ta/man/translate/figs-possession	εὐαγγέλιον Θεοῦ	1	Paul is using the possessive form to describe **the gospel** that comes from **God**. If it would be helpful in your language, you could use a different expression. Alternate translation: “the gospel from God” (See: [[rc://*/ta/man/translate/figs-possession]])
1:2	cu3r		rc://*/ta/man/translate/figs-distinguish	ὃ	1	Here, **which** indicates that what follows is further information about “the gospel of God” mentioned in the previous verse. Paul is emphasizing that “the gospel of God” originated from **the holy Scriptures**, which also come from God. If it would be helpful in your language, you could make the relationship between these phrases clearer. Alternate translation: “that is, the gospel” (See: [[rc://*/ta/man/translate/figs-distinguish]])
1:3	lab1		rc://*/ta/man/translate/figs-distinguish	περὶ τοῦ Υἱοῦ αὐτοῦ	1	This phrase gives us further information about “the gospel of God.” Paul means that the message of God’s promised good news is about God’s Son, “Christ Jesus”, as mentioned in [1:1](../01/01.md). If it would be helpful in your language, you could make the relationship between these phrases clearer. Alternate translation: “that is, the gospel about his Son” (See: [[rc://*/ta/man/translate/figs-distinguish]])
1:3	lk5q		rc://*/ta/man/translate/guidelines-sonofgodprinciples	τοῦ Υἱοῦ αὐτοῦ	1	**Son** is an important title that describes the relationship between God and Jesus. (See: [[rc://*/ta/man/translate/guidelines-sonofgodprinciples]])
